Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0005,NuGet package is deprecated,Active,Optional,1,src\ChessTrainer.Common\ChessTrainer.Common.csproj,File,src\ChessTrainer.Common\ChessTrainer.Common.csproj,,,Microsoft.CodeAnalysis.FxCopAnalyzers 2.6.2,,,,,"Microsoft.CodeAnalysis.FxCopAnalyzers, 2.6.2  Recommendation:  Read our guide on how to ""Migrate from FxCop analyzers to .NET analyzers"" at https://docs.microsoft.com/visualstudio/code-quality/migrate-from-fxcop-analyzers-to-net-analyzers?view=vs-2019 Remove Microsoft.CodeAnalysis.FxCopAnalyzers, and replace with new package Microsoft.CodeAnalysis.FxCopAnalyzers, 3.3.2"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\ChessTrainer.Data\ChessTrainer.Data.csproj,File,src\ChessTrainer.Data\ChessTrainer.Data.csproj,,,Microsoft.EntityFrameworkCore.Design 3.1.1,,,,,"Microsoft.EntityFrameworkCore.Design, 3.1.1  Recommendation:  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 10.0.8"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\ChessTrainer.Data\ChessTrainer.Data.csproj,File,src\ChessTrainer.Data\ChessTrainer.Data.csproj,,,Microsoft.EntityFrameworkCore.SqlServer 3.1.1,,,,,"Microsoft.EntityFrameworkCore.SqlServer, 3.1.1  Recommendation:  Remove Microsoft.EntityFrameworkCore.SqlServer, and replace with new package Microsoft.EntityFrameworkCore.SqlServer 10.0.8"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\ChessTrainer.Data\ChessTrainer.Data.csproj,File,src\ChessTrainer.Data\ChessTrainer.Data.csproj,,,Microsoft.Extensions.Configuration 3.1.1,,,,,"Microsoft.Extensions.Configuration, 3.1.1  Recommendation:  Remove Microsoft.Extensions.Configuration, and replace with new package Microsoft.Extensions.Configuration 10.0.8"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,src\ChessTrainer.Data\ChessTrainer.Data.csproj,File,src\ChessTrainer.Data\ChessTrainer.Data.csproj,,,Microsoft.CodeAnalysis.FxCopAnalyzers 2.6.2,,,,,"Microsoft.CodeAnalysis.FxCopAnalyzers, 2.6.2  Recommendation:  Read our guide on how to ""Migrate from FxCop analyzers to .NET analyzers"" at https://docs.microsoft.com/visualstudio/code-quality/migrate-from-fxcop-analyzers-to-net-analyzers?view=vs-2019 Remove Microsoft.CodeAnalysis.FxCopAnalyzers, and replace with new package Microsoft.CodeAnalysis.FxCopAnalyzers, 3.3.2"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\ChessTrainer.Data\ChessTrainer.Data.csproj,File,src\ChessTrainer.Data\DataExtensions.cs,25,20,M:System.TimeSpan.FromSeconds(System.Double),,,,,"options.EnableRetryOnFailure(maxRetryCount: 15, maxRetryDelay: TimeSpan.FromSeconds(30), errorNumbersToAdd: null);"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,src\Engine\Engine.csproj,File,src\Engine\Engine.csproj,,,Microsoft.CodeAnalysis.FxCopAnalyzers 2.6.2,,,,,"Microsoft.CodeAnalysis.FxCopAnalyzers, 2.6.2  Recommendation:  Read our guide on how to ""Migrate from FxCop analyzers to .NET analyzers"" at https://docs.microsoft.com/visualstudio/code-quality/migrate-from-fxcop-analyzers-to-net-analyzers?view=vs-2019 Remove Microsoft.CodeAnalysis.FxCopAnalyzers, and replace with new package Microsoft.CodeAnalysis.FxCopAnalyzers, 3.3.2"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\IngestionFunctions\IngestionFunctions.csproj,File,src\IngestionFunctions\IngestionFunctions.csproj,,,Microsoft.Extensions.Http 3.1.2,,,,,"Microsoft.Extensions.Http, 3.1.2  Recommendation:  Remove Microsoft.Extensions.Http, and replace with new package Microsoft.Extensions.Http 10.0.8"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\IngestionFunctions\IngestionFunctions.csproj,File,src\IngestionFunctions\IngestionFunctions.csproj,,,Microsoft.Extensions.Http.Polly 3.1.2,,,,,"Microsoft.Extensions.Http.Polly, 3.1.2  Recommendation:  Remove Microsoft.Extensions.Http.Polly, and replace with new package Microsoft.Extensions.Http.Polly 10.0.8"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\IngestionFunctions\IngestionFunctions.csproj,File,src\IngestionFunctions\IngestionFunctions.csproj,,,Microsoft.NET.Sdk.Functions 3.0.3,,,,,"Microsoft.NET.Sdk.Functions, 3.0.3  Recommendation:  Remove Microsoft.NET.Sdk.Functions, and replace with new package Microsoft.Azure.Functions.Worker.Extensions.Http 3.3.0, Microsoft.Azure.Functions.Worker.Sdk 2.0.7, Microsoft.Azure.Functions.Worker 2.52.0"
NuGet.0004,NuGet package contains security vulnerability,Active,Optional,1,src\IngestionFunctions\IngestionFunctions.csproj,File,src\IngestionFunctions\IngestionFunctions.csproj,,,Azure.Storage.Queues 12.2.0,,,,,"Azure.Storage.Queues, 12.2.0  Recommendation:  Azure.Storage.Queues, 12.26.0"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,src\IngestionFunctions\IngestionFunctions.csproj,File,src\IngestionFunctions\IngestionFunctions.csproj,,,Microsoft.Azure.Cosmos.Table 1.0.6,,,,,"Microsoft.Azure.Cosmos.Table, 1.0.6  Recommendation:  Please note, this package is obsolete as of 3/31/2023 and is no longer maintained or monitored. Microsoft encourages you to upgrade to the replacement package, Azure.Data.Tables, to continue receiving updates. Refer to the migration guide (https://github.com/Azure/azure-sdk-for-net/blob/main/sdk/tables/Azure.Data.Tables/MigrationGuide.md) for guidance on upgrading. Refer to our deprecation policy (https://aka.ms/azsdk/support-policies) for more details. Remove Microsoft.Azure.Cosmos.Table, and replace with new package Microsoft.Azure.Cosmos.Table, 1.0.8"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,src\IngestionFunctions\IngestionFunctions.csproj,File,src\IngestionFunctions\IngestionFunctions.csproj,,,Microsoft.CodeAnalysis.FxCopAnalyzers 2.6.2,,,,,"Microsoft.CodeAnalysis.FxCopAnalyzers, 2.6.2  Recommendation:  Read our guide on how to ""Migrate from FxCop analyzers to .NET analyzers"" at https://docs.microsoft.com/visualstudio/code-quality/migrate-from-fxcop-analyzers-to-net-analyzers?view=vs-2019 Remove Microsoft.CodeAnalysis.FxCopAnalyzers, and replace with new package Microsoft.CodeAnalysis.FxCopAnalyzers, 3.3.2"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\IngestionFunctions\IngestionFunctions.csproj,File,src\IngestionFunctions\IngestionFunctions.csproj,,,,,,,,Current target framework: netcoreapp3.1 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\IngestionFunctions\IngestionFunctions.csproj,File,src\IngestionFunctions\Services\LiChessService.cs,61,16,T:System.Net.Http.HttpContent,,,,,using var responseBody = await response.Content.ReadAsStreamAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\IngestionFunctions\IngestionFunctions.csproj,File,src\IngestionFunctions\Services\LiChessService.cs,61,16,M:System.Net.Http.HttpContent.ReadAsStreamAsync,,,,,using var responseBody = await response.Content.ReadAsStreamAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\IngestionFunctions\IngestionFunctions.csproj,File,src\IngestionFunctions\Services\LiChessService.cs,51,12,T:System.Uri,,,,,"var uri = new Uri(string.Format(CultureInfo.InvariantCulture, UrlFormatString, playerName, max, sinceClause));"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\IngestionFunctions\IngestionFunctions.csproj,File,src\IngestionFunctions\Services\LiChessService.cs,51,12,M:System.Uri.#ctor(System.String),,,,,"var uri = new Uri(string.Format(CultureInfo.InvariantCulture, UrlFormatString, playerName, max, sinceClause));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\IngestionFunctions\IngestionFunctions.csproj,File,src\IngestionFunctions\HttpPolicies.cs,31,44,M:System.TimeSpan.FromSeconds(System.Double),,,,,TimeSpan.FromSeconds(30)
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\IngestionFunctions\IngestionFunctions.csproj,File,src\IngestionFunctions\HttpPolicies.cs,21,47,M:System.TimeSpan.FromSeconds(System.Double),,,,,TimeSpan.FromSeconds(i * 3)
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,src\IngestionFunctions\IngestionFunctions.csproj,File,src\IngestionFunctions\IngestionFunctions.csproj,,,Microsoft.Azure.WebJobs.Extensions.Storage 3.0.10,,,,,"Microsoft.Azure.WebJobs.Extensions.Storage, 3.0.10  Recommendation:  Package functionality included with new framework reference"
AzureFunctionsUpgrade.0002,Enable the use of the V2 model for Azure Functions projects and enable Application Insights.,Active,Mandatory,3,src\IngestionFunctions\IngestionFunctions.csproj,File,src\IngestionFunctions\IngestionFunctions.csproj,,,,,,,,
NuGet.0005,NuGet package is deprecated,Active,Optional,1,test\IngestionFunctions.Test\IngestionFunctions.Test.csproj,File,test\IngestionFunctions.Test\IngestionFunctions.Test.csproj,,,xunit 2.4.0,,,,,"xunit, 2.4.0  Recommendation:  This package will only be updated for security issues. All future feature work has moved onto v3.  Guide for migrating from xUnit.net v2 to v3: https://xunit.net/docs/getting-started/v3/migration Remove xunit, and replace with new package xunit, 2.9.3"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,test\IngestionFunctions.Test\IngestionFunctions.Test.csproj,File,test\IngestionFunctions.Test\IngestionFunctions.Test.csproj,,,Microsoft.CodeAnalysis.FxCopAnalyzers 2.6.2,,,,,"Microsoft.CodeAnalysis.FxCopAnalyzers, 2.6.2  Recommendation:  Read our guide on how to ""Migrate from FxCop analyzers to .NET analyzers"" at https://docs.microsoft.com/visualstudio/code-quality/migrate-from-fxcop-analyzers-to-net-analyzers?view=vs-2019 Remove Microsoft.CodeAnalysis.FxCopAnalyzers, and replace with new package Microsoft.CodeAnalysis.FxCopAnalyzers, 3.3.2"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,test\IngestionFunctions.Test\IngestionFunctions.Test.csproj,File,test\IngestionFunctions.Test\IngestionFunctions.Test.csproj,,,,,,,,Current target framework: netcoreapp3.0 Recommended target framework: net10.0
